STATE ABBREVIATION,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,PARTY
,,,,,,,
AK,S,S8AK00082,,Ray,Metcalfe,"Metcalfe, Ray",DEM
AK,S,S4AK00099,(I),Lisa,Murkowski,"Murkowski, Lisa",REP
AK,S,S0AK00121,,Joe,Miller,"Miller, Joe",LIB
AK,S,S6AK00201,,Breck A.,Craig,"Craig, Breck A.",NAF
AK,S,S4AK00115,,Ted,Gianoutsos,"Gianoutsos, Ted",NAF
AK,S,S6AK00151,,Margaret,Stock,"Stock, Margaret",NAF
AK,S,S0AK00162,,"Sidney ""Sid""",Hill,"Hill, Sidney ""Sid""",W
AK,S,S6AK00193,,Paul,Kendall,"Kendall, Paul",W
AK,S,S6AK00219,,Rob,Mulford,"Mulford, Rob",W
AK,S,S2AK00044,,Jed,Whittaker,"Whittaker, Jed",W
,,,,,,,
AK,00,H6AK00235,,Steve,Lindbeck,"Lindbeck, Steve",DEM
AK,00,H6AK00045,(I),Don,Young,"Young, Don",REP
AK,00,H2AK00143,,Jim C.,McDermott,"McDermott, Jim C.",LIB
AK,00,H6AK01050,,Bernie,Souphanavong,"Souphanavong, Bernie",NAF
AK,00,H6AK00318,,Zachary A.,Kile,"Kile, Zachary A.",W
AK,00,H6AK00284,,Stephen,Wright,"Wright, Stephen",W
,,,,,,,
,,,,,,,
,,,,,,,PARTY KEY
,,,,,,,DEM = Democratic
,,,,,,,REP = Republican
,,,,,,,LIB = Libertarian
,,,,,,,NAF = Non-Affiliated
,,,,,,,W = Write-in Candidate (Not on Ballot)
,,,,,,,
STATE ABBREVIATION,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,PARTY
,,,,,,,
AL,S,S6AL00302,,Ron,Crumpton,"Crumpton, Ron",DEM
AL,S,S6AL00013,(I),Richard C.,Shelby,"Shelby, Richard C.",REP
,,,,,,,
AL,01,H4AL01123,(I),Bradley,Byrne,"Byrne, Bradley",REP
,,,,,,,
AL,02,H6AL02167,,Nathan ,Mathis,"Mathis, Nathan ",DEM
AL,02,H0AL02087,(I),Martha,Roby,"Roby, Martha",REP
,,,,,,,
AL,03,H4AL03061,,Jesse,Smith,"Smith, Jesse",DEM
AL,03,H2AL03032,(I),Mike,Rogers,"Rogers, Mike",REP
,,,,,,,
AL,04,H6AL04098,(I),Robert,Aderholt,"Aderholt, Robert",REP
,,,,,,,
AL,05,H6AL05202,,"Will, Jr.",Boyd,"Boyd, Will, Jr.",DEM
AL,05,H0AL05163,(I),Mo,Brooks,"Brooks, Mo",REP
,,,,,,,
AL,06,H6AL06127,,David J.,Putman,"Putman, David J.",DEM
AL,06,H4AL06098,(I),Gary,Palmer,"Palmer, Gary",REP
,,,,,,,
AL,07,H0AL07086,(I),Terri A.,Sewell,"Sewell, Terri A.",DEM
,,,,,,,
,,,,,,,
,,,,,,,PARTY KEY
,,,,,,,DEM = Democratic
,,,,,,,REP = Republican
,,,,,,,
STATE ABBREVIATION,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,PARTY
,,,,,,,
AR,S,S6AR00132,,Conner,Eldridge,"Eldridge, Conner",DEM
AR,S,S0AR00150,(I),John,Boozman,"Boozman, John",REP
AR,S,S6AR00140 ,,Frank,Gilbert,"Gilbert, Frank",LIB
AR,S,S6AR00157,,Jason,Tate,"Tate, Jason",W
,,,,,,,
AR,01,H0AR01083,(I),Rick ,Crawford,"Crawford, Rick ",REP
AR,01,H6AR01114,,Mark ,West,"West, Mark ",LIB
,,,,,,,
AR,02,H6AR02245 ,,Dianne ,Curry,"Curry, Dianne ",DEM
AR,02,H4AR02141,(I),French,Hill,"Hill, French",REP
AR,02,H2AR02061,,Chris,Hayes,"Hayes, Chris",LIB
AR,02,H4AR02182,,Charles,Neely,"Neely, Charles",W
AR,02,H6AR02260,,Mathew ,Wescott,"Wescott, Mathew ",W
,,,,,,,
AR,03,H0AR03055,(I),Steve,Womack,"Womack, Steve",REP
AR,03,H6AR03110,,Steve,Isaacson,"Isaacson, Steve",LIB
,,,,,,,
AR,04,H4AR04048,(I),Bruce,Westerman,"Westerman, Bruce",REP
AR,04,H6AR04076,,Kerry,Hicks,"Hicks, Kerry",LIB
,,,,,,,
,,,,,,,
,,,,,,,PARTY KEY
,,,,,,,DEM = Democratic
,,,,,,,REP = Republican
,,,,,,,LIB = Libertarian
,,,,,,,W = Write-In Candidate (Not on Ballot)
,,,,,,,
STATE ABBREVIATION,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,PARTY
,,,,,,,
AZ,S,S6AZ00225 ,,Ann,Kirkpatrick,"Kirkpatrick, Ann",DEM
AZ,S,S6AZ00019 ,(I),John,McCain,"McCain, John",REP
AZ,S,S6AZ00340,,Gary,Swing,"Swing, Gary",GRE
AZ,S,S2AZ00273,,Sheila ,Bilyeu,"Bilyeu, Sheila ",W
AZ,S,S6AZ00399 ,,Anthony,Camboni,"Camboni, Anthony",W
AZ,S,S0AZ00327,,Santos,Chavez,"Chavez, Santos",W
AZ,S,S6AZ00134 ,,Leonard,Clark,"Clark, Leonard",W
AZ,S,S6AZ00365,,Sydney,Dudikoff,"Dudikoff, Sydney",W
AZ,S,S6AZ00241,,Selena,Lopez,"Lopez, Selena",W
AZ,S,S6AZ00258 ,,Pat,Quinn,"Quinn, Pat",W
AZ,S,S6AZ00381,,"Gene, II",Scott,"Scott, Gene, II",W
,,,,,,,
AZ,01,H6AZ01199,,Tom,O'Halleran,"O'Halleran, Tom",DEM
AZ,01,H2AZ04127 ,,Paul,Babeu,"Babeu, Paul",REP
AZ,01,H6AZ01264,,Ray,Parrish,"Parrish, Ray",GRE
,,,,,,,
AZ,02,H2AZ08078,,Matt,Heinz,"Heinz, Matt",DEM
AZ,02,H2AZ08102 ,(I),Martha,McSally,"McSally, Martha",REP
,,,,,,,
AZ,03,H2AZ07070 ,(I),Raúl,Grijalva,"Grijalva, Raúl",DEM
AZ,03,H6AZ03245,,Bill,Abatecola,"Abatecola, Bill",W
AZ,03,H6AZ03211 ,,Harvey,Martin,"Martin, Harvey",W
AZ,03,H4AZ03075,,Federico,Sanchez,"Sanchez, Federico",W
AZ,03,H2AZ07161,,Jaime,Vasquez,"Vasquez, Jaime",W
,,,,,,,
AZ,04,H2AZ04143 ,,Mikel,Weisser,"Weisser, Mikel",DEM
AZ,04,H0AZ01259,(I),Paul,Gosar,"Gosar, Paul",REP
,,,,,,,
AZ,05,H6AZ05133,,Talia,Fuentes,"Fuentes, Talia",DEM
AZ,05,H6AZ05083,,Andy,Biggs,"Biggs, Andy",REP
,,,,,,,
AZ,06,H2AZ05132,,W. John,Williamson,"Williamson, W. John",DEM
AZ,06,H4AZ06045 ,(I),David,Schweikert,"Schweikert, David",REP
,,,,,,,
AZ,07,H4AZ07043,(I),Ruben,Gallego,"Gallego, Ruben",DEM
AZ,07,H6AZ07030 ,,Eve,Nunez,"Nunez, Eve",REP
AZ,07,H6AZ07048,,Neil B.,Westbrooks,"Westbrooks, Neil B.",W
,,,,,,,
AZ,08,H4AZ04024 ,(I),Trent,Franks,"Franks, Trent",REP
AZ,08,H2AZ06197,,Mark,Salazar,"Salazar, Mark",GRE
AZ,08,H6AZ08202,,"Hayden, III",Keener,"Keener, Hayden, III",W
