,,,,,,,
STATE ABBREVIATION,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,PARTY
,,,,,,,
CA,S,S6CA00634 ,,Akinyemi Olabode,Agbede,"Agbede, Akinyemi Olabode",DEM
CA,S,S6CA00899,,President Cristina,Grappo,"Grappo, President Cristina",DEM
CA,S,S6CA00584 ,,Kamala D. ,Harris,"Harris, Kamala D. ",DEM
CA,S,S6CA00832 ,,Massie ,Munroe,"Munroe, Massie ",DEM
CA,S,S6CA00907 ,,Herbert G.,Peters,"Peters, Herbert G.",DEM
CA,S,S6CA00865 ,,Emory,Rodgers,"Rodgers, Emory",DEM
CA,S,S6CA00691 ,,Loretta L.,Sanchez,"Sanchez, Loretta L.",DEM
CA,S,S6CA00873 ,,Steve,Stokes,"Stokes, Steve",DEM
CA,S,S2CA00740,,Greg,Conlon,"Conlon, Greg",REP
CA,S,S6CA00683 ,,Thomas G.,Del Beccaro,"Del Beccaro, Thomas G.",REP
CA,S,S6CA00915,,Von,Hougo,"Hougo, Von",REP
CA,S,S2CA00799,,Don,Krampe,"Krampe, Don",REP
CA,S,S6CA00717 ,,Jerry J.,Laws,"Laws, Jerry J.",REP
CA,S,S6CA00675,,Tom,Palzer,"Palzer, Tom",REP
CA,S, S6CA00923,,Karen ,Roseberry,"Roseberry, Karen ",REP
CA,S,S6CA00741 ,,Duf,Sundheim,"Sundheim, Duf",REP
CA,S,S8CA00291,,Ron,Unz,"Unz, Ron",REP
CA,S,S6CA00824 ,,Jarrell ,Williamson,"Williamson, Jarrell ",REP
CA,S,S6CA00667 ,,Phil,Wyman,"Wyman, Phil",REP
CA,S,S6CA00931,,George C.,Yang,"Yang, George C.",REP
CA,S,S6CA00964,,Billy,Falling,"Falling, Billy",W(REP)
CA,S,,,Alexis,Stuart,"Stuart, Alexis",W(REP)
CA,S,S6CA00956,,Pamela,Elizondo,"Elizondo, Pamela",GRE
CA,S,S6CA00972 ,,Mark Matthew ,Herd,"Herd, Mark Matthew ",LIB
CA,S,S8CA00283,,Gail K.,Lightfoot,"Lightfoot, Gail K.",LIB
CA,S,S6CA00949,,John Thompson,Parker,"Parker, John Thompson",PAF
CA,S,S6CA00766 ,,Mike ,Beitiks,"Beitiks, Mike ",NOP
CA,S,S6CA00980 ,,Eleanor ,García,"García, Eleanor ",NOP
CA,S,S6CA00733 ,,Tim,Gildersleeve,"Gildersleeve, Tim",NOP
CA,S,S6CA00774 ,,Clive,Grey,"Grey, Clive",NOP
CA,S,S4CA00332,,Don J.,Grundmann,"Grundmann, Don J.",NOP
CA,S,S6CA00998,,Jason,Hanania,"Hanania, Jason",NOP
CA,S,S6CA01004,,Jason,Kraus,"Kraus, Jason",NOP
CA,S,S6CA01012,,Paul,Merritt,"Merritt, Paul",NOP
CA,S,S6CA00881,,Gar,Myers,"Myers, Gar",NOP
CA,S,S6CA01020,,Ling Ling,Shi,"Shi, Ling Ling",NOP
CA,S,S6CA00857,,Scott A.,Vineberg,"Vineberg, Scott A.",NOP
CA,S,,,Ric M.,Llewellyn,"Llewellyn, Ric M.",W(NOP)
,,,,,,,
CA,01,H6CA01202 ,,David,Peterson,"Peterson, David",DEM
CA,01,H6CA01194,,Jim,Reed,"Reed, Jim",DEM
CA,01,H2CA01136,,Gregory,Cheadle,"Cheadle, Gregory",REP
CA,01,H2CA02142,(I),Doug,La Malfa,"La Malfa, Doug",REP
CA,01,H6CA01186,,Joe,Montes,"Montes, Joe",REP
CA,01,H2CA01151,,Gary Allen,Oxley,"Oxley, Gary Allen",REP
CA,01,H4CA04110,,Jeff,Gerlach,"Gerlach, Jeff",NOP
,,,,,,,
CA,02,H2CA06259 ,(I),Jared W.,Huffman,"Huffman, Jared W.",DEM
CA,02,H6CA02234,,Erin A.,Schrode,"Schrode, Erin A.",DEM
CA,02,H6CA02226,,Andrew Augustine ,Caffrey,"Caffrey, Andrew Augustine ",W(DEM)
CA,02,H4CA02098 ,,Dale K.,Mensing,"Mensing, Dale K.",REP
CA,02,H6CA02242,,Matthew Robert ,Wookey,"Wookey, Matthew Robert ",NOP
,,,,,,,
CA,03,H0CA10149 ,(I),John G.,Garamendi,"Garamendi, John G.",DEM
CA,03,H6CA03117 ,,N. Eugene,Cleek,"Cleek, N. Eugene",REP
CA,03,H6CA03125 ,,Ryan ,Detert,"Detert, Ryan ",REP
,,,,,,,
CA,04,H6CA04156,,Robert W.,Derlet,"Derlet, Robert W.",DEM
CA,04,H6CA04164 ,,Sean,White,"White, Sean",DEM
CA,04,H8CA04152 ,(I),Tom,McClintock,"McClintock, Tom",REP
,,,,,,,
CA,05,H6CA05344,,Nils ,Palsson,"Palsson, Nils ",DEM
CA,05,H6CA05351 ,,Alex,Poling,"Poling, Alex",DEM
CA,05,H8CA01109 ,(I),Mike ,Thompson,"Thompson, Mike ",DEM
CA,05,H6CA05336 ,,Carlos,Santamaria,"Santamaria, Carlos",REP
,,,,,,,
CA,06,H6CA06219,,Jrmar,Jefferson,"Jefferson, Jrmar",DEM
CA,06,H6CA05195,(I),Doris,Matsui,"Matsui, Doris",DEM
CA,06,H6CA06227 ,,Robert (Bob),Evans,"Evans, Robert (Bob)",REP
CA,06,H6CA06235 ,,Mario,Galván,"Galván, Mario",NOP
CA,06,H6CA28163 ,,Yuriy,Seretskiy,"Seretskiy, Yuriy",NOP
,,,,,,,
CA,07,H0CA03078 ,(I),Ami,Bera,"Bera, Ami",DEM
CA,07,H6CA07126 ,,Scott R.,Jones,"Jones, Scott R.",REP
,,,,,,,
CA,08,H6CA08199,,Roger,LaPlante,"LaPlante, Roger",DEM
