,,,,,,,
STATE ABBREVIATION,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,PARTY
,,,,,,,
FL,S,S6FL00319 ,,Patrick,Murphy,"Murphy, Patrick",DEM
FL,S,S0FL00338,(I),Marco,Rubio,"Rubio, Marco",REP
FL,S,S6FL00467 ,,Paul,Stanton,"Stanton, Paul",LBF
FL,S,S6FL00459,,Basil E.,Dalack,"Dalack, Basil E.",NPA
FL,S,S6FL00434 ,,Tony ,Khoury,"Khoury, Tony ",NPA
FL,S,S6FL00517 ,,Steven ,Machat,"Machat, Steven ",NPA
FL,S,S6FL00327 ,,Bruce,Nathan,"Nathan, Bruce",NPA
FL,S,S6FL00483,,Jon ,Friend,"Friend, Jon ",W
FL,S,S6FL00558,,Robert Samuel,Kaplan,"Kaplan, Robert Samuel",W
FL,S,S0FL00544,,Howard ,Knepper,"Knepper, Howard ",W
FL,S,S6FL00541,,Bradley ,Patrick,"Patrick, Bradley ",W
FL,S,S6FL00533 ,,Charles Frederick ,Tolbert,"Tolbert, Charles Frederick ",W
FL,S,S6FL00442,,Angela Marie,Walls-Windhauser,"Walls-Windhauser, Angela Marie",W
,,,,,,,
FL,01,H6FL01176 ,,Steven ,Specht,"Specht, Steven ",DEM
FL,01,H6FL01119 ,,Matt,Gaetz,"Gaetz, Matt",REP
,,,,,,,
FL,02,H6FL02257,,Walter,Dartland,"Dartland, Walter",DEM
FL,02,H6FL02208,,Neal,Dunn,"Dunn, Neal",REP
FL,02,H6FL02240 ,,Rob ,Lapham,"Lapham, Rob ",LBF
FL,02,H6FL02273,,Antoine Edward ,Roberts,"Roberts, Antoine Edward ",W
,,,,,,,
FL,03,H6FL03081,,"Kenneth ""Ken""",McGurn,"McGurn, Kenneth ""Ken""",DEM
FL,03,H2FL06109 ,(I),Ted,Yoho,"Yoho, Ted",REP
FL,03,H6FL03073 ,,Tom,Wells,"Wells, Tom",NPA
,,,,,,,
FL,04,H2FL06091 ,,David E.,Bruderly,"Bruderly, David E.",DEM
FL,04 ,H6FL04105 ,,John ,Rutherford,"Rutherford, John ",REP
FL,04,H2FL04138,,Gary L.,Koniz,"Koniz, Gary L.",NPA
FL,04,H6FL04170 ,,Daniel,Murphy,"Murphy, Daniel",W
,,,,,,,
FL,05,H0FL02086 ,,Al ,Lawson,"Lawson, Al ",DEM
FL,05,H4FL05081,,Glo,Smith,"Smith, Glo",REP
,,,,,,,
FL,06,H6FL06126 ,,William (Bill),McCullough,"McCullough, William (Bill)",DEM
FL,06,H2FL00292 ,(I),Ron,DeSantis,"DeSantis, Ron",REP
,,,,,,,
FL,07,H6FL07140 ,,Stephanie,Murphy,"Murphy, Stephanie",DEM
FL,07,H2FL08055 ,(I),John ,Mica,"Mica, John ",REP
FL,07,H6FL07157,,Mike,Plaskon,"Plaskon, Mike",W
,,,,,,,
FL,08,H4FL08077,,Corry,Westbrook,"Westbrook, Corry",DEM
FL,08,H8FL15107 ,(I),Bill ,Posey,"Posey, Bill ",REP
FL,08,H6FL08254,,Bill,Stinson,"Stinson, Bill",NPA
,,,,,,,
FL,09,H6FL09179 ,,Darren,Soto,"Soto, Darren",DEM
FL,09,H6FL09195 ,,Wayne,Liebnitzky,"Liebnitzky, Wayne",REP
,,,,,,,
FL,10,H2FL08063 ,,Val,Demings,"Demings, Val",DEM
FL,10,H6FL05177 ,,Thuy,Lowe,"Lowe, Thuy",REP
,,,,,,,
FL,11,H4FL11071 ,,Dave,Koller,"Koller, Dave",DEM
FL,11,H0FL08208 ,(I),Daniel ,Webster,"Webster, Daniel ",REP
FL,11,H2FL05192,,Bruce Ray,Riggs,"Riggs, Bruce Ray",NPA
,,,,,,,
FL,12,H6FL12181,,Robert Matthew ,Tager,"Tager, Robert Matthew ",DEM
FL,12,H6FL09070 ,(I),Gus Michael ,Bilirakis,"Bilirakis, Gus Michael ",REP
,,,,,,,
FL,13,H6FL13205 ,,Charlie ,Crist,"Crist, Charlie ",DEM
FL,13,H4FL13101,(I),David W.,Jolly,"Jolly, David W.",REP
,,,,,,,
FL,14,H6FL11126,(I),Kathy ,Castor,"Castor, Kathy ",DEM
FL,14,H6FL14112 ,,Christine,Quinn,"Quinn, Christine",REP
,,,,,,,
FL,15,H6FL15150 ,,Jim,Lange,"Lange, Jim",DEM
FL,15,H0FL12101 ,(I),Dennis A.,Ross,"Ross, Dennis A.",REP
,,,,,,,
FL,16,H2FL13139,,Jan,Schneider,"Schneider, Jan",DEM
FL,16,H6FL13148 ,(I),Vern,Buchanan,"Buchanan, Vern",REP
,,,,,,,
FL,17,H4FL19058 ,,April,Freeman,"Freeman, April",DEM
FL,17,H8FL16022 ,(I),Tom,Rooney,"Rooney, Tom",REP
FL,17,H2FL14160,,"John W., III",Sawyer,"Sawyer, John W., III",NPA
,,,,,,,
FL,18,H6FL18147,,Randy ,Perkins,"Perkins, Randy ",DEM
FL,18,H6FL18097 ,,Brian,Mast,"Mast, Brian",REP
FL,18,H6FL18121 ,,Carla,Spalding,"Spalding, Carla",NPA
FL,18,H6FL18196 ,,Marilyn ,Holloman,"Holloman, Marilyn ",W
,,,,,,,
FL,19,H4FL14091 ,,Robert M.,Neeld,"Neeld, Robert M.",DEM
FL,19,H6FL19087 ,,Francis,Rooney,"Rooney, Francis",REP
FL,19,H6FL19103,,David,Byron,"Byron, David",W
FL,19,H4FL19082,,Timothy John,Rossano,"Rossano, Timothy John",W
,,,,,,,
FL,20,H2FL23021 ,(I),Alcee L.,Hastings,"Hastings, Alcee L.",DEM
