,,,,,,,
STATE ABBREVIATION,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,PARTY
,,,,,,,
IL,S,S6IL00292 ,,Tammy,Duckworth,"Duckworth, Tammy",DEM
IL,S,S0IL00261 ,(I),Mark Steven,Kirk,"Kirk, Mark Steven",REP
IL,S,S4IL00388,,Scott,Summers,"Summers, Scott",GRE
IL,S,S6IL00383,,Kenton,McMillen,"McMillen, Kenton",LIB
,,,,,,,
IL,01,H2IL01042 ,(I),Bobby L.,Rush,"Rush, Bobby L.",DEM
IL,01,H6IL01159,,August (O'Neill),Deuser,"Deuser, August (O'Neill)",REP
,,,,,,,
IL,02,H2IL02172,(I),Robin,Kelly,"Kelly, Robin",DEM
IL,02,H6IL02199,,John F,Morrow,"Morrow, John F",REP
,,,,,,,
IL,03,H4IL03077 ,(I),Daniel William,Lipinski,"Lipinski, Daniel William",DEM
,,,,,,,
IL,04,H2IL08039 ,(I),Luis V.,Gutierrez,"Gutierrez, Luis V.",DEM
,,,,,,,
IL,05,H0IL05096 ,(I),Mike,Quigley,"Quigley, Mike",DEM
IL,05,H6IL05168 ,,Vince,Kolber,"Kolber, Vince",REP
IL,05,H6IL05176,,Rob ,Sherman,"Sherman, Rob ",GRE
,,,,,,,
IL,06,H6IL06166,,Amanda,Howland,"Howland, Amanda",DEM
IL,06,H6IL06117,(I),Peter J.,Roskam,"Roskam, Peter J.",REP
,,,,,,,
IL,07,H4IL07037,(I),Danny K.,Davis,"Davis, Danny K.",DEM
IL,07,H6IL07305,,Jeffrey A.,Leef,"Leef, Jeffrey A.",REP
,,,,,,,
IL,08,H6IL08147,,Raja,Krishnamoorthi,"Krishnamoorthi, Raja",DEM
IL,08,H6IL08170 ,,"Peter ""Pete""",DiCianni,"DiCianni, Peter ""Pete""",REP
,,,,,,,
IL,09,H8IL09067,(I),Janice D,Schakowsky,"Schakowsky, Janice D",DEM
IL,09,H6IL09145,,Joan McCarthy,Lasonde,"Lasonde, Joan McCarthy",REP
,,,,,,,
IL,10,H2IL10068,,Brad,Schneider,"Schneider, Brad",DEM
IL,10,H0IL10302 ,(I),Robert ,Dold,"Dold, Robert ",REP
,,,,,,,
IL,11,H8IL14067 ,(I),Bill,Foster,"Foster, Bill",DEM
IL,11,H6IL11117 ,,Tonia,Khouri,"Khouri, Tonia",REP
,,,,,,,
IL,12,H6IL12099 ,,"Charles ""C.J."" ",Baricevic,"Baricevic, Charles ""C.J."" ",DEM
IL,12,H4IL12060,(I),Michael ,Bost,"Bost, Michael ",REP
IL,12,H2IL12130,,Paula,Bradshaw,"Bradshaw, Paula",GRE
,,,,,,,
IL,13,H6IL13121 ,,Mark D ,Wicklund,"Wicklund, Mark D ",DEM
IL,13,H2IL13120 ,(I),Rodney,Davis,"Davis, Rodney",REP
,,,,,,,
IL,14,H6IL14129,,Jim ,Walz,"Walz, Jim ",DEM
IL,14,H0IL14080,(I),"Randall M. ""Randy""",Hultgren,"Hultgren, Randall M. ""Randy""",REP
,,,,,,,
IL,15,H2IL20042 ,(I),John M.,Shimkus,"Shimkus, John M.",REP
,,,,,,,
IL,16,H0IL11052 ,(I),Adam,Kinzinger,"Kinzinger, Adam",REP
,,,,,,,
IL,17,H2IL17071 ,(I),Cheri ,Bustos,"Bustos, Cheri ",DEM
IL,17,H6IL17205,,Patrick,Harlan,"Harlan, Patrick",REP
,,,,,,,
,18,H6IL18161 ,,Junius,Rodriguez,"Rodriguez, Junius",DEM
IL,18,H6IL18088 ,(I),Darin,LaHood,"LaHood, Darin",REP
,,,,,,,
,,,,,,,
,,,,,,,PARTY KEY
,,,,,,,DEM = Democratic
,,,,,,,REP = Republican
,,,,,,,GRE = Green
,,,,,,,LIB = Libertarian
