,,,,,,,
STATE ABBREVIATION,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,PARTY
,,,,,,,
NC,S,S6NC00274,,Kevin D.,Griffin,"Griffin, Kevin D.",DEM
NC,S,S4NC00238,,Ernest T.,Reeves,"Reeves, Ernest T.",DEM
NC,S,S6NC00282,,Chris,Rey,"Rey, Chris",DEM
NC,S,S6NC00266,,Deborah K.,Ross,"Ross, Deborah K.",DEM
NC,S,S4NC00147,,Greg,Brannon,"Brannon, Greg",REP
NC,S,S4NC00089,(I),Richard,Burr,"Burr, Richard",REP
NC,S,S6NC00308,,Larry,Holmquist,"Holmquist, Larry",REP
NC,S,S6NC00316,,Paul,Wright,"Wright, Paul",REP
NC,S,S2NC00257,,Sean,Haugh,"Haugh, Sean",LIB
,,,,,,,
NC,01,H4NC01046,(I),G. K.,Butterfield,"Butterfield, G. K.",DEM
NC,01,H6NC01108 ,,"H. Powell, Jr.",Dew,"Dew, H. Powell, Jr.",REP
NC,01,H6NC01116,,J.J.,Summerell,"Summerell, J.J.",LIB
,,,,,,,
NC,02,H6NC02163,,Elton R.,Brewington,"Brewington, Elton R.",DEM
NC,02,H6NC02171,,Steven E.,Hight,"Hight, Steven E.",DEM
NC,02,H6NC13046,,John P.,McNeil,"McNeil, John P.",DEM
NC,02,H4NC13058,,Ron,Sanyal,"Sanyal, Ron",DEM
NC,02,H6NC02155,,Jane,Watson,"Watson, Jane",DEM
NC,02,H6NC02148,,Greg,Brannon,"Brannon, Greg",REP
NC,02,H0NC02059,(I),Renee,Ellmers,"Ellmers, Renee",REP
NC,02,H2NC13110,(I),George,Holding,"Holding, George",REP
,,,,,,,
NC,03,H6NC03153,,David Allan,Hurst,"Hurst, David Allan",DEM
NC,03,H6NC03161,,Ernest T.,Reeves,"Reeves, Ernest T.",DEM
NC,03,H4NC03059,,Taylor,Griffin,"Griffin, Taylor",REP
NC,03,H2NC01081,(I),Walter B.,Jones,"Jones, Walter B.",REP
NC,03,H6NC03138,,Phil,Law,"Law, Phil",REP
,,,,,,,
NC,04,H6NC04037,(I),David,Price,"Price, David",DEM
NC,04,H6NC04151,,Sue,Googe,"Googe, Sue",REP
NC,04,H6NC04169,,Teiji,Kimball,"Kimball, Teiji",REP
,,,,,,,
NC,05,H4NC05245,,Josh,Brannon,"Brannon, Josh",DEM
NC,05,H6NC06131,,Jim,Roberts,"Roberts, Jim",DEM
NC,05,H6NC05125,,Charlie,Wallin,"Wallin, Charlie",DEM
NC,05,H6NC05117,,Pattie,Curran,"Curran, Pattie",REP
NC,05,H4NC05146,(I),Virginia,Foxx,"Foxx, Virginia",REP
,,,,,,,
NC,06,H6NC06099,,Pete,Glidewell,"Glidewell, Pete",DEM
NC,06,H6NC06107,,Chris,Hardin,"Hardin, Chris",REP
NC,06,H4NC06052,(I),B. Mark,Walker,"Walker, B. Mark",REP
,,,,,,,
NC,07,H4NC07100,,J. Wesley,Casteen,"Casteen, J. Wesley",DEM
NC,07,H2NC07096,(I),David,Rouzer,"Rouzer, David",REP
,,,,,,,
NC,08,H6NC08145,,Thomas,Mills,"Mills, Thomas",DEM
NC,08,H0NC08163,,Tim,D'Annunzio,"D'Annunzio, Tim",REP
NC,08,H2NC08185,(I),Richard,Hudson,"Hudson, Richard",REP
,,,,,,,
NC,09,H6NC09184,,Christian,Cano,"Cano, Christian",DEM
NC,09,H6NC09200,,Mark,Harris,"Harris, Mark",REP
NC,09,H6NC09192,,Todd,Johnson,"Johnson, Todd",REP
NC,09,H2NC09134,(I),Robert,Pittenger,"Pittenger, Robert",REP
,,,,,,,
NC,10,H6NC10158,,Andy,Millard,"Millard, Andy",DEM
NC,10,H6NC10166,,Jeffrey,Baker,"Baker, Jeffrey",REP
NC,10,H0NC10177,,Jeff,Gregory,"Gregory, Jeff",REP
