,,,,,,,
STATE ABBREVIATION,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,PARTY
,,,,,,,
NJ,01,H4NJ01084,(I),Donald W.,Norcross,"Norcross, Donald W.",DEM
NJ,01,H6NJ01204,,Bob,Patterson,"Patterson, Bob",REP
NJ,01,H6NJ01212,,"William F., IV",Sihr,"Sihr, William F., IV",LIB
NJ,01,H4NJ01159,,Michael ,Berman,"Berman, Michael ",AO
NJ,01,H4NJ01142,,Scot John,Tomaszewski,"Tomaszewski, Scot John",WDB
,,,,,,,
NJ,02,H4NJ02157,,David H.,Cole,"Cole, David H.",DEM
NJ,02,H2NJ02037,(I),Frank A.,LoBiondo,"LoBiondo, Frank A.",REP
NJ,02,H2NJ02177,,John,Ordille,"Ordille, John",LIB
NJ,02,H6NJ02186,,Eric,Beechwood,"Beechwood, Eric",PIP
NJ,02, H6NJ02210,,Steven,Fenichel,"Fenichel, Steven",RNN
NJ,02,H6NJ02202,,Gabriel Brian,Franco,"Franco, Gabriel Brian",FPR
NJ,02,H6NJ02194 ,,James,Keenan,"Keenan, James",MGW
,,,,,,,
NJ,03,H4NJ03163,,Frederick John,LaVergne,"LaVergne, Frederick John",DEM
NJ,03,H4NJ03130,(I),Tom,MacArthur,"MacArthur, Tom",REP
NJ,03,H6NJ03150,,"Lawrence W., Jr.",Berlinski,"Berlinski, Lawrence W., Jr.",CON
,,,,,,,
NJ,04,H6NJ04158,,Lorna,Phillipson,"Phillipson, Lorna",DEM
NJ,04,H8NJ04014,(I),Christopher H.,Smith,"Smith, Christopher H.",REP
NJ,04,H6NJ04174,,Jeremy,Marcus,"Marcus, Jeremy",LIB
NJ,04,H6NJ04182,,Hank,Schroeder,"Schroeder, Hank",EG
,,,,,,,
NJ,05,H6NJ05171,,Joshua S.,Gottheimer,"Gottheimer, Joshua S.",DEM
NJ,05,H8NJ05052,(I),Scott,Garrett,"Garrett, Scott",REP
NJ,05,H6NJ05205,,Claudio,Belusic,"Belusic, Claudio",LIB
,,,,,,,
NJ,06,H8NJ03073,(I),"Frank, Jr.",Pallone,"Pallone, Frank, Jr.",DEM
NJ,06,H6NJ06229,,Brent,Sonnek-Schmelz,"Sonnek-Schmelz, Brent",REP
NJ,06,H6NJ06237,,Rajit B.,Malliah,"Malliah, Rajit B.",GRE
NJ,06,H6NJ06245,,Judith ,Shamy,"Shamy, Judith ",LIB
,,,,,,,
NJ,07,H6NJ07151,,Peter,Jacob,"Jacob, Peter",DEM
NJ,07,H6NJ12136,(I),Leonard,Lance,"Lance, Leonard",REP
NJ,07,H6NJ07185,,"Arthur T., Jr.",Haussmann,"Haussmann, Arthur T., Jr.",CON
NJ,07,H6NJ07193,,Dan,O'Neill,"O'Neill, Dan",LIB
,,,,,,,
NJ,08,H6NJ13191,(I),Albio,Sires,"Sires, Albio",DEM
NJ,08,H6NJ08167,,Agha,Khan,"Khan, Agha",REP
NJ,08,H6NJ08175 ,,Dan,Delaney,"Delaney, Dan",LIB
NJ,08,H2NJ08224,,Pablo ,Olivera,"Olivera, Pablo ",WUA
,,,,,,,
NJ,09,H6NJ08118,(I),"Bill, Jr.",Pascrell,"Pascrell, Bill, Jr.",DEM
NJ,09,H6NJ09231,,Hector L.,Castillo,"Castillo, Hector L.",REP
NJ,09,H6NJ09256,,Diego,Rivera,"Rivera, Diego",LIB
NJ,09,H6NJ09249,,Jeff,Boss,"Boss, Jeff",NSA
,,,,,,,
