,,,,,,,
STATE ABBREVIATION,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,PARTY
,,,,,,,
NM,01,H8NM01257,(I),Michelle,Lujan Grisham,"Lujan Grisham, Michelle",DEM
NM,01,H4NM01124,,Richard Gregory,Priem,"Priem, Richard Gregory",REP
,,,,,,,
NM,02,H6NM02101,,Merrie Lee,Soules,"Soules, Merrie Lee",DEM
NM,02,H2NM02126 ,(I),Steve,Pearce,"Pearce, Steve",REP
NM,02,H4NM02080,,Jack A.,McGrann,"McGrann, Jack A.",W
,,,,,,,
NM,03,H8NM03196,(I),Ben R,Lujan,"Lujan, Ben R",DEM
NM,03,H6NM03067 ,,Michael H.,Romero,"Romero, Michael H.",REP
,,,,,,,
,,,,,,,
,,,,,,,PARTY KEY
,,,,,,,DEM = Democratic
,,,,,,,REP = Republican
,,,,,,,W = Write-In Candidate (Not on Ballot)
