,,,,,,,
STATE ABBREVIATION,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,PARTY
,,,,,,,
NY,S,S8NY00082,(I),Charles E.,Schumer,"Schumer, Charles E.",DEM/IDP/WEP/WF
NY,S,S2NY00259,,Wendy,Long,"Long, Wendy",REP/CRV/REF
NY,S,S6NY00425,,Robin Laverne,Wilson,"Wilson, Robin Laverne",GRE
NY,S,S6NY00433,,Alex,Merced,"Merced, Alex",LIB
,,,,,,,
NY,01,H6NY01126,,Anna E.,Throne-Holst,"Throne-Holst, Anna E.",DEM/WEP/WF
NY,01,H8NY01148,(I),Lee M.,Zeldin,"Zeldin, Lee M.",REP/CRV/REF/IDP
,,,,,,,
NY,02,H6NY02124,,Du Wayne,Gregory,"Gregory, Du Wayne",DEM/IDP/WEP/WF
NY,02,H2NY03089,(I),Peter T. ,King,"King, Peter T. ",REP/CRV/REF/TRP
,,,,,,,
NY,03,H6NY03247,,Thomas R.,Suozzi,"Suozzi, Thomas R.",DEM
NY,03,H6NY03197,,Jack M.,Martins,"Martins, Jack M.",REP/REF/CRV
,,,,,,,
NY,04,H4NY04075,(I),Kathleen M.,Rice,"Rice, Kathleen M.",DEM/WEP
NY,04,H6NY03171,,David H.,Gurfein,"Gurfein, David H.",REP/CRV/REF/TRP
,,,,,,,
NY,05,H8NY06048,(I),Gregory W.,Meeks,"Meeks, Gregory W.",DEM/WEP
NY,05,H6NY05077,,Michael A.,O'Reilly,"O'Reilly, Michael A.",REP/CRV
NY,05,H6NY05085,,Frank,Francois,"Francois, Frank",GRE
,,,,,,,
NY,06,H2NY06116,(I),Grace ,Meng,"Meng, Grace ",DEM/WEP
NY,06,H6NY14236,,Danniel S.,Maio,"Maio, Danniel S.",REP/BLM/CRV
NY,06,H6NY06141,,Haris,Bhatti,"Bhatti, Haris",HBP
,,,,,,,
NY,07,H2NY00010,(I),Nydia M.,Velazquez,"Velazquez, Nydia M.",DEM/WEP
NY,07,H6NY12115,,Allan E.,Romaguera,"Romaguera, Allan E.",REP/CRV
,,,,,,,
NY,08,H2NY10092,(I),Hakeem S.,Jeffries,"Jeffries, Hakeem S.",DEM/WF
NY,08,H2NY09110,,Daniel J.,Cavanagh,"Cavanagh, Daniel J.",CRV
,,,,,,,
NY,09,H4NY11138,(I),Yvette D.,Clarke,"Clarke, Yvette D.",DEM/WF
NY,09,H2NY08120,,Alan,Bellone,"Bellone, Alan",CRV
,,,,,,,
NY,10,H2NY17071,(I),Jerrold L.,Nadler,"Nadler, Jerrold L.",DEM/WF/WEP
NY,10,H6NY10119,,Philip,Rosenthal,"Rosenthal, Philip",REP/CRV/IDP/SID
,,,,,,,
NY,11,H6NY11216,,Richard A.,Reichard,"Reichard, Richard A.",DEM
NY,11,H6NY11174,(I),Dan,Donovan,"Donovan, Dan",REP/CRV/IDP/REF
NY,11,H2NY13062,,Henry J.,Bardel,"Bardel, Henry J.",GRE
,,,,,,,
NY,12,H2NY14037,(I),Carolyn B.,Maloney,"Maloney, Carolyn B.",DEM/WF
NY,12,H6NY12149,,Robert,Ardini,"Ardini, Robert",REP
,,,,,,,
NY,13,H2NY13096,,Adriano,Espaillat,"Espaillat, Adriano",DEM
NY,13,H6NY13154,,"Robert A., Jr.",Evans,"Evans, Robert A., Jr.",REP/IDP
NY,13,H4NY13076,,Daniel Vila,Rivera,"Rivera, Daniel Vila",GRE
NY,13,H6NY13170,,Scott Lloyd,Fenstermaker,"Fenstermaker, Scott Lloyd",TGP
,,,,,,,
NY,14,H8NY07046,(I),Joseph,Crowley,"Crowley, Joseph",DEM/WEP/WF
NY,14,H6NY14244,,Frank J.,Spotorno,"Spotorno, Frank J.",REP/CRV
,,,,,,,
NY,15,H0NY18065,(I),Jose E.,Serrano,"Serrano, Jose E.",DEM
NY,15,H6NY15142,,Alejandro,Vega,"Vega, Alejandro",REP
NY,15,H4NY15121,,Eduardo,Ramirez,"Ramirez, Eduardo",CRV
,,,,,,,
NY,16,H8NY19058,(I),Eliot L.,Engel,"Engel, Eliot L.",DEM/WEP/WF
NY,16,H6NY16132,,Derickson K.,Lawrence,"Lawrence, Derickson K.",PCC
,,,,,,,
NY,17,H8NY20056,(I),Nita M.,Lowey,"Lowey, Nita M.",DEM/WEP/WF
,,,,,,,
NY,18,H2NY22139,(I),Sean Patrick,Maloney,"Maloney, Sean Patrick",DEM/IDP/WEP/WF
NY,18,H6NY18203,,Phil,Oliva,"Oliva, Phil",REP/CRV/REF
,,,,,,,
NY,19,H6NY19243,,Zephyr,Teachout,"Teachout, Zephyr",DEM/WF
NY,19,H6NY19169,,John J.,Faso,"Faso, John J.",REP/CRV/IDP/REF
,,,,,,,
NY,20,H8NY21203,(I),Paul D.,Tonko,"Tonko, Paul D.",DEM/IDP/WEP/WF
NY,20,H6NY20209,,Francis J.,Vitollo,"Vitollo, Francis J.",REP/CRV/REF
,,,,,,,
NY,21,H6NY21132,,Mike,Derrick,"Derrick, Mike",DEM/WF
NY,21,H4NY21079,(I),Elise M.,Stefanik,"Stefanik, Elise M.",REP/CRV/IDP/REF
NY,21,H4NY21111,,Matthew J.,Funiciello,"Funiciello, Matthew J.",GRE
,,,,,,,
NY,22,H6NY22130,,Kim A.,Myers,"Myers, Kim A.",DEM/WF
NY,22,H4NY22051,,Claudia,Tenney,"Tenney, Claudia",REP/CRV
NY,22,H6NY22148,,Martin,Babinec,"Babinec, Martin",REF/UPJ
,,,,,,,
NY,23,H6NY23518,,John F.,Plumb,"Plumb, John F.",DEM/WF
NY,23,H0NY29054,(I),"Thomas W., II",Reed,"Reed, Thomas W., II",REP/CRV/REF/IDP
,,,,,,,
NY,24,H6NY24177,,Colleen,Deacon,"Deacon, Colleen",DEM/WF
NY,24,H4NY24073,(I),John M.,Katko,"Katko, John M.",REP/CRV/IDP/REF
,,,,,,,
NY,25,H6NY03031,(I),Louise M.,Slaughter,"Slaughter, Louise M.",DEM/WEP/WF
NY,25,H4NY29098,,Mark W.,Assini,"Assini, Mark W.",REP/CRV/IDP/REF
,,,,,,,
NY,26,H4NY27076,(I),Brian,Higgins,"Higgins, Brian",DEM/WEP/WF
NY,26,H6NY26115,,Shelly,Schratz,"Schratz, Shelly",REP/CRV
,,,,,,,
NY,27,H6NY27170,,Diana K.,Kastenbaum,"Kastenbaum, Diana K.",DEM
NY,27,H8NY29032,(I),Chris,Collins,"Collins, Chris",REP/CRV/IDP/REF
,,,,,,,
,,,,,,,
,,,,,,,PARTY KEY
,,,,,,,DEM = Democratic
,,,,,,,REP = Republican
,,,,,,,BLM = Blue Lives Matter
,,,,,,,CRV = Conservative
,,,,,,,GRE = Green
,,,,,,,HBP = Haris Bhatti
,,,,,,,IDP = Independence
,,,,,,,LIB = Libertarian
,,,,,,,PCC= People's Choice
,,,,,,,REF = Reform
,,,,,,,SID = Stop Iran Deal
,,,,,,,TGP = Transparent Government
,,,,,,,TRP = Tax Revolt
,,,,,,,UPJ = Upstate Jobs
,,,,,,,WEP = Women's Equality Party
,,,,,,,WF = Working Families
