,,,,,,,
STATE ABBREVIATION,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,PARTY
,,,,,,,
PA,S,S6PA00266 ,,Katie,McGinty,"McGinty, Katie",DEM
PA,S,S4PA00121 ,(I),Pat,Toomey,"Toomey, Pat",REP
PA,S,S6PA00316,,"Edward T., III",Clifford,"Clifford, Edward T., III",LIB
,,,,,,,
PA,01,H8PA01153,(I),Robert A.,Brady,"Brady, Robert A.",DEM
PA,01,H6PA01173,,Deborah,Williams,"Williams, Deborah",REP
,,,,,,,
PA,02,H6PA02171,,Dwight,Evans,"Evans, Dwight",DEM
PA,02,H6PA02197,,James A.,Jones,"Jones, James A.",REP
,,,,,,,
PA,03,H4PA03117,(I),Mike ,Kelly,"Kelly, Mike ",REP
,,,,,,,
PA,04,H6PA04128,,Joshua,Burkholder,"Burkholder, Joshua",DEM
PA,04,H2PA04135,(I),Scott,Perry,"Perry, Scott",REP
,,,,,,,
PA,05,H6PA05133,,Kerith Strano,Taylor,"Taylor, Kerith Strano",DEM
PA,05,H8PA05071 ,(I),Glenn GT,Thompson,"Thompson, Glenn GT",REP
,,,,,,,
PA,06,H4PA06052 ,,Mike,Parrish,"Parrish, Mike",DEM
PA,06,H0PA06076 ,(I),Ryan,Costello,"Costello, Ryan",REP
,,,,,,,
PA,07,H4PA07092 ,,Mary Ellen,Balchunis,"Balchunis, Mary Ellen",DEM
PA,07,H0PA07082,(I),Patrick L.,Meehan,"Meehan, Patrick L.",REP
,,,,,,,
PA,08,H6PA08228,,Steve ,Santarsiero,"Santarsiero, Steve ",DEM
PA,08,H6PA08277,,Brian,Fitzpatrick,"Fitzpatrick, Brian",REP
,,,,,,,
PA,09,H4PA09056,,Art,Halvorson,"Halvorson, Art",DEM
PA,09,H2PA09035,(I),Bill,Shuster,"Shuster, Bill",REP
,,,,,,,
PA,10,H6PA10141,,Michael,Molesevich,"Molesevich, Michael",DEM
PA,10,H0PA10078 ,(I),Tom,Marino,"Marino, Tom",REP
,,,,,,,
PA,11,H6PA11073 ,,Mike,Marsicano,"Marsicano, Mike",DEM
PA,11,H2PA11098 ,(I),Lou ,Barletta,"Barletta, Lou ",REP
,,,,,,,
PA,12,H4PA12043 ,,Erin R.,McClelland,"McClelland, Erin R.",DEM
PA,12,H0PA04220 ,(I),Keith ,Rothfus,"Rothfus, Keith ",REP
,,,,,,,
PA,13,H4PA13199,(I),Brendan F.,Boyle,"Boyle, Brendan F.",DEM
,,,,,,,
PA,14,H4PA18131,(I),Mike,Doyle,"Doyle, Mike",DEM
PA,14,H6PA14192,,Lenny,McAllister,"McAllister, Lenny",REP
,,,,,,,
PA,15,H2PA15099,,Rick ,Daugherty,"Daugherty, Rick ",DEM
PA,15,H4PA15087,(I),Charles W.,Dent,"Dent, Charles W.",REP
PA,15,H6PA15173,,Paul,Rizzo,"Rizzo, Paul",LIB
,,,,,,,
PA,16,H6PA16296 ,,Christina,Hartman,"Hartman, Christina",DEM
PA,16,H6PA16320,,Lloyd K.,Smucker,"Smucker, Lloyd K.",REP
PA,16,H6PA16346,,Shawn Patrick,House,"House, Shawn Patrick",LIB
,,,,,,,
PA,17,H2PA17079,(I),Matt,Cartwright,"Cartwright, Matt",DEM
PA,17,H4PA17141,,Matt,Connolly,"Connolly, Matt",REP
,,,,,,,
PA,18,H2PA18143,(I),Tim ,Murphy,"Murphy, Tim ",REP
,,,,,,,
,,,,,,,
,,,,,,,PARTY KEY
,,,,,,,DEM = Democratic
,,,,,,,REP = Republican
,,,,,,,LIB = Libertarian
