,,,,,,,
STATE ABBREVIATION,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,PARTY
,,,,,,,
TX,01,H6TX01238,,Shirley J.,McKellar,"McKellar, Shirley J.",DEM
TX,01,H4TX04039,(I),Louie ,Gohmert,"Gohmert, Louie ",REP
TX,01,H6TX01261,,Phil,Gray,"Gray, Phil",LIB
TX,01,H6TX01279,,Renee,Culler,"Culler, Renee",W
,,,,,,,
TX,02,H6TX02160,,Pat ,Bryan,"Bryan, Pat ",DEM
TX,02,H4TX02108,(I),Ted,Poe,"Poe, Ted",REP
TX,02,H6TX02178,,Joshua,Darr,"Darr, Joshua",GRE
TX,02,H4TX02173,,James B.,Veasaw,"Veasaw, James B.",LIB
,,,,,,,
TX,03,H6TX03192,,Adam P.,Bell,"Bell, Adam P.",DEM
TX,03,H2TX03118,(I),Sam,Johnson,"Johnson, Sam",REP
TX,03,H4TX03098,,Paul,Blair,"Blair, Paul",GRE
TX,03,H6TX03200,,Scott,Jameson,"Jameson, Scott",LIB
,,,,,,,
TX,04,H4TX04153,(I),John,Ratcliffe,"Ratcliffe, John",REP
TX,04,H6TX04125,,Cody,Wommack,"Wommack, Cody",LIB
,,,,,,,
TX,05,H2TX05121,(I),Jeb,Hensarling,"Hensarling, Jeb",REP
TX,05,H8TX05052,,Ken,Ashby,"Ashby, Ken",LIB
,,,,,,,
TX,06,H6TX06203,,Ruby Faye,Woolridge,"Woolridge, Ruby Faye",DEM
TX,06,H4TX06117,(I),Joe,Barton,"Barton, Joe",REP
TX,06,H6TX06195,,"Darrel, Jr.",Smith,"Smith, Darrel, Jr.",GRE
,,,,,,,
TX,07,H2TX07036,,James,Cargas,"Cargas, James",DEM
TX,07,H0TX07055,(I),John,Culberson,"Culberson, John",REP
,,,,,,,
TX,08,H6TX08100,(I),Kevin,Brady,"Brady, Kevin",REP
,,,,,,,
TX,09,H4TX09095 ,(I),Al,Green,"Green, Al",DEM
TX,09,H6TX09082,,Jeff ,Martin,"Martin, Jeff ",REP
,,,,,,,
TX,10,H2TX10113 ,,Tawana W. ,Cadien,"Cadien, Tawana W. ",DEM
TX,10,H4TX10093 ,(I),Michael T.,McCaul,"McCaul, Michael T.",REP
TX,10,H4TX10184,,Bill,Kelsey,"Kelsey, Bill",LIB
,,,,,,,
TX,11,H4TX19136,(I),Mike,Conaway,"Conaway, Mike",REP
TX,11,H6TX11096 ,,Nicholas,Landholt,"Landholt, Nicholas",LIB
,,,,,,,
TX,12,H6TX12136,,Bill,Bradshaw,"Bradshaw, Bill",DEM
TX,12,H6TX12060,(I),Kay ,Granger,"Granger, Kay ",REP
TX,12,H4TX12032,,Ed,Colliver,"Colliver, Ed",LIB
,,,,,,,
TX,13,H4TX13014,(I),Mac ,Thornberry,"Thornberry, Mac ",REP
TX,13,H6TX13134,,"H.F. ""Rusty""",Tomlinson,"Tomlinson, H.F. ""Rusty""",GRE
TX,13,H6TX13142,,Calvin,DeWeese,"DeWeese, Calvin",LIB
,,,,,,,
TX,14,H6TX14124,,Michael,Cole,"Cole, Michael",DEM
TX,14,H2TX14149,(I),Randy,Weber,"Weber, Randy",REP
,,,,,,,
TX,15,H6TX15162,,Vicente ,Gonzalez,"Gonzalez, Vicente ",DEM
TX,15,H6TX15204,,Tim,Westley,"Westley, Tim",REP
TX,15,H6TX15220,,Vanessa S.,Tijerina,"Tijerina, Vanessa S.",GRE
TX,15,H8TX28203,,Ross Lynn,Leone,"Leone, Ross Lynn",LIB
,,,,,,,
TX,16,H2TX16185,(I),Beto,O'Rourke,"O'Rourke, Beto",DEM
TX,16,H6TX16137,,Mary L.,Gourdoux,"Gourdoux, Mary L.",GRE
TX,16,H4TX16082,,Jaime O.,Perez,"Perez, Jaime O.",LIB
,,,,,,,
TX,17,H6TX17093 ,,William,Matta,"Matta, William",DEM
TX,17,H0TX17104 ,(I),Bill,Flores,"Flores, Bill",REP
TX,17,H2TX01070,,Clark,Patterson,"Patterson, Clark",LIB
,,,,,,,
TX,18,H4TX18054,(I),Sheila,Jackson Lee,"Jackson Lee, Sheila",DEM
TX,18,H6TX18141,,Lori,Bartley,"Bartley, Lori",REP
TX,18,H6TX18182,,Thomas,Kleven,"Kleven, Thomas",GRE
,,,,,,,
TX,19,H6TX19099 ,,Jodey,Arrington,"Arrington, Jodey",REP
TX,19,H4TX19284,,Mark,Lawson,"Lawson, Mark",GRE
TX,19,H6TX19180,,Troy,Bonar,"Bonar, Troy",LIB
,,,,,,,
TX,20,H2TX35011,(I),Joaquin,Castro,"Castro, Joaquin",DEM
TX,20,H6TX20105,,Paul,Pipkin,"Pipkin, Paul",GRE
TX,20,H8TX21125,,Jeffrey C.,Blunt,"Blunt, Jeffrey C.",LIB
,,,,,,,
TX,21,H6TX21228,,Tom,Wakely,"Wakely, Tom",DEM
TX,21,H6TX21012,(I),Lamar,Smith,"Smith, Lamar",REP
TX,21,H2TX20062,,"Antonio ""Tony""",Diaz,"Diaz, Antonio ""Tony""",GRE
TX,21,H4TX21082,,Mark,Loewe,"Loewe, Mark",LIB
,,,,,,,
TX,22,H4TX22163,,Mark ,Gibson,"Gibson, Mark ",DEM
TX,22,H8TX22107,(I),Pete,Olson,"Olson, Pete",REP
,,,,,,,
TX,23,H2TX23124,,Pete P.,Gallego,"Gallego, Pete P.",DEM
TX,23,H0TX23086 ,(I),Will ,Hurd,"Hurd, Will ",REP
TX,23,H4TX23088,,Ruben S.,Corvalan,"Corvalan, Ruben S.",LIB
,,,,,,,
TX,24,H6TX24149,,Jan,McDowell,"McDowell, Jan",DEM
TX,24,H6TX24156,,Kevin,McCormick,"McCormick, Kevin",GRE
TX,24,H4TX24094,(I),Kenny E.,Marchant,"Marchant, Kenny E.",REP
