,,,,,,,
STATE ABBREVIATION,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,PARTY
,,,,,,,
WA,S,S2WA00189,(I),Patty ,Murray,"Murray, Patty ",DEM
WA,S,S6WA00321,,Chris ,Vance,"Vance, Chris ",REP
,,,,,,,
WA,01,H0WA08046,(I),Suzan,DelBene,"DelBene, Suzan",DEM
WA,01,H4WA01258,,Robert J.,Sutherland,"Sutherland, Robert J.",REP
,,,,,,,
WA,02,H0WA02080 ,(I),Rick,Larsen,"Larsen, Rick",DEM
WA,02,H6WA02178,,Marc,Hennemann,"Hennemann, Marc",REP
,,,,,,,
WA,03,H6WA03218,,Jim,Moeller,"Moeller, Jim",DEM
WA,03,H6WA03234,(I),Jaime Herrera,Beutler,"Beutler, Jaime Herrera",REP
,,,,,,,
WA,04,H4WA04088 ,,Clint,Didier,"Didier, Clint",REP
WA,04,H4WA04104,(I),Dan,Newhouse,"Newhouse, Dan",REP
,,,,,,,
WA,05,H4WA05127,,Joe,Pakootas,"Pakootas, Joe",DEM
WA,05,H6WA05171,(I),Cathy McMorris,Rodgers,"Rodgers, Cathy McMorris",REP
,,,,,,,
WA,06,H2WA06129 ,(I),Derek,Kilmer,"Kilmer, Derek",DEM
WA,06,H6WA06211,,Todd A.,Bloom,"Bloom, Todd A.",REP
,,,,,,,
WA,07,H6WA07458 ,,Pramila,Jayapal,"Jayapal, Pramila",DEM
WA,07,H6WA07425 ,,Brady Piñero,Walkinshaw,"Walkinshaw, Brady Piñero",DEM
,,,,,,,
WA,08,H6WA08092,,Tony,Ventrella,"Ventrella, Tony",DEM
WA,08,H4WA08071,(I),Dave,Reichert,"Reichert, Dave",REP
,,,,,,,
WA,09,H6WA09025,(I),Adam,Smith,"Smith, Adam",DEM
WA,09,H4WA09061,,Doug,Basler,"Basler, Doug",REP
,,,,,,,
WA,10,H0WA03161,(I),Denny,Heck,"Heck, Denny",DEM
WA,10,H8WA09047,,Jim,Postma,"Postma, Jim",REP
,,,,,,,
,,,,,,,
,,,,,,  ,PARTY KEY
,,,,,,,DEM =
,,,,,,,REP =
