"","CD","D_win"
"1","AK-00",0.085
"2","AL-01",0.046736
"3","AL-02",0.042478
"4","AL-03",0.050336
"5","AL-04",0.039078
"6","AL-05",0.065272
"7","AL-06",0.042406
"8","AL-07",0.973392
"9","AR-01",0.062146
"10","AR-02",0.079266
"11","AR-03",0.05211
"12","AR-04",0.05969
"13","AZ-01",0.429334
"14","AZ-02",0.136626
"15","AZ-03",0.91461
"16","AZ-04",0.055592
"17","AZ-05",0.10009
"18","AZ-06",0.07454
"19","AZ-07",0.961964
"20","AZ-08",0.068844
"21","AZ-09",0.775812
"22","CA-01",0.09002
"23","CA-02",0.96333
"24","CA-03",0.796346
"25","CA-04",0.07808
"26","CA-05",0.979224
"27","CA-06",0.963638
"28","CA-07",0.757144
"29","CA-08",0.086072
"30","CA-09",0.888248
"31","CA-10",0.3074
"32","CA-11",0.953974
"33","CA-12",0.994124
"34","CA-13",0.968202
"35","CA-14",0.96158
"36","CA-15",0.976108
"37","CA-16",0.906978
"38","CA-17",0.993828
"39","CA-18",0.967704
"40","CA-19",0.97027
"41","CA-20",0.94614
"42","CA-21",0.376426
"43","CA-22",0.06059
"44","CA-23",0.008008
"45","CA-24",0.680548
"46","CA-25",0.31923
"47","CA-26",0.88389
"48","CA-27",0.94582
"49","CA-28",0.961588
"50","CA-29",0.975118
"51","CA-30",0.968672
"52","CA-31",0.901696
"53","CA-32",0.947466
"54","CA-33",0.963548
"55","CA-34",0.975742
"56","CA-35",0.951574
"57","CA-36",0.737374
"58","CA-37",0.95619
"59","CA-38",0.960034
"60","CA-39",0.129182
"61","CA-40",0.954266
"62","CA-41",0.929924
"63","CA-42",0.080056
"64","CA-43",0.955228
"65","CA-44",0.97494
"66","CA-45",0.112566
"67","CA-46",0.782188
"68","CA-47",0.912966
"69","CA-48",0.128938
"70","CA-49",0.263756
"71","CA-50",0.056798
"72","CA-51",0.959224
"73","CA-52",0.819738
"74","CA-53",0.926678
"75","CO-01",0.965616
"76","CO-02",0.919518
"77","CO-03",0.273152
"78","CO-04",0.074496
"79","CO-05",0.070964
"80","CO-06",0.42214
"81","CO-07",0.893044
"82","CT-01",0.964576
"83","CT-02",0.882158
"84","CT-03",0.946778
"85","CT-04",0.881846
"86","CT-05",0.832084
"87","DE-00",0.77231
"88","FL-01",0.06642
"89","FL-02",0.077722
"90","FL-03",0.097396
"91","FL-04",0.083548
"92","FL-04 ",NA
"93","FL-05",0.786334
"94","FL-06",0.125226
"95","FL-07",0.323914
"96","FL-08",0.092652
"97","FL-09",0.677126
"98","FL-10",0.741234
"99","FL-11",0.074728
"100","FL-12",0.1858
"101","FL-13",0.521928
"102","FL-14",0.884202
"103","FL-15",0.199482
"104","FL-16",0.16766
"105","FL-17",0.098032
"106","FL-18",0.371744
"107","FL-19",0.21463
"108","FL-20",0.959388
"109","FL-21",0.94956
"110","FL-22",0.861698
"111","FL-23",0.96724
"112","FL-24",0.951354
"113","FL-25",0.076982
"114","FL-26",0.575362
"115","FL-27",0.333666
"116","GA-01",0.09112
"117","GA-02",0.89483
"118","GA-03",0.068466
"119","GA-04",0.95079
"120","GA-05",0.96386
"121","GA-06",0.034324
"122","GA-07",0.066412
"123","GA-08",0.05411
"124","GA-09",0.045916
"125","GA-10",0.066408
"126","GA-11",0.05451
"127","GA-12",0.090652
"128","GA-13",0.967042
"129","GA-14",0.04017
"130","HI-01",0.936216
"131","HI-02",0.982614
"132","IA-01",0.666478
"133","IA-02",0.8481
"134","IA-03",0.393218
"135","IA-04",0.222166
"136","ID-01",0.066976
"137","ID-02",0.052308
"138","IL-01",0.956138
"139","IL-02",0.96555
"140","IL-03",0.873154
"141","IL-04",0.953434
"142","IL-05",0.96134
"143","IL-06",0.16377
"144","IL-07",0.954136
"145","IL-08",0.845928
"146","IL-09",0.964508
"147","IL-10",0.674844
"148","IL-11",0.938282
"149","IL-12",0.371072
"150","IL-13",0.424964
"151","IL-14",0.216546
"152","IL-15",0.02284
"153","IL-16",0.186974
"154","IL-17",0.941526
"155","IL-18",0.039804
"156","IN-01",0.94132
"157","IN-02",0.178466
"158","IN-03",0.166286
"159","IN-04",0.061098
"160","IN-05",0.085642
"161","IN-06",0.054724
"162","IN-07",0.955174
"163","IN-08",0.102744
"164","IN-09",0.377772
"165","KS-01",0.05605
"166","KS-02",0.079566
"167","KS-03",0.148112
"168","KS-04",0.05163
"169","KY-01",0.082298
"170","KY-02",0.03866
"171","KY-03",0.795128
"172","KY-04",0.066618
"173","KY-05",0.041444
"174","KY-06",0.076216
"175","LA-01",0.050024
"176","LA-02",0.970386
"177","LA-03",0.070608
"178","LA-04",0.214144
"179","LA-05",0.061224
"180","LA-06",0.031124
"181","MA-01",0.965468
"182","MA-02",0.920064
"183","MA-03",0.901126
"184","MA-04",0.937466
"185","MA-05",0.96226
"186","MA-06",0.8804
"187","MA-07",0.958712
"188","MA-08",0.896524
"189","MA-09",0.831068
"190","MD-01",0.052108
"191","MD-02",0.939834
"192","MD-03",0.922906
"193","MD-04",0.962412
"194","MD-05",0.987158
"195","MD-06",0.826984
"196","MD-07",0.96529
"197","MD-08",0.874486
"198","ME-01",0.91566
"199","ME-02",0.508632
"200","MI-01",0.47322
"201","MI-02",0.12756
"202","MI-03",0.254858
"203","MI-04",0.23241
"204","MI-05",0.942444
"205","MI-06",0.285278
"206","MI-07",0.341488
"207","MI-08",0.30134
"208","MI-09",0.89327
"209","MI-10",0.353822
"210","MI-11",0.257682
"211","MI-12",0.962538
"212","MI-13",0.956398
"213","MI-14",0.958946
"214","MN-01",0.559642
"215","MN-02",0.580166
"216","MN-03",0.22612
"217","MN-04",0.817712
"218","MN-05",0.974966
"219","MN-06",0.072556
"220","MN-07",0.438018
"221","MN-08",0.637118
"222","MO-01",0.954032
"223","MO-02",0.08203
"224","MO-03",0.043374
"225","MO-04",0.069044
"226","MO-05",0.92834
"227","MO-06",0.057584
"228","MO-07",0.039638
"229","MO-08",0.074268
"230","MS-01",0.051636
"231","MS-02",0.955596
"232","MS-03",0.061028
"233","MS-04",0.06759
"234","MT-00",0.095042
"235","NC-01",0.96178
"236","NC-02",0.06709
"237","NC-03",0.077894
"238","NC-04",0.94888
"239","NC-05",0.081996
"240","NC-06",0.10666
"241","NC-07",0.090842
"242","NC-08",0.096866
"243","NC-09",0.109266
"244","NC-10",0.040366
"245","NC-11",0.073904
"246","NC-12",0.958886
"247","NC-13",0.369942
"248","ND-00",0.0766
"249","NE-01",0.275708
"250","NE-02",0.555938
"251","NE-03",0.045102
"252","NH-01",0.636508
"253","NH-02",0.87329
"254","NJ-01",0.969998
"255","NJ-02",0.389932
"256","NJ-03",0.308326
"257","NJ-04",0.132972
"258","NJ-05",0.404306
"259","NJ-06",0.940678
"260","NJ-07",0.213188
"261","NJ-08",0.954422
"262","NJ-09",0.969358
"263","NJ-10",0.952342
"264","NJ-11",0.161214
"265","NJ-12",0.960944
"266","NM-01",0.917216
"267","NM-02",0.183772
"268","NM-03",0.938724
"269","NV-01",0.95489
"270","NV-02",0.24555
"271","NV-03",0.505074
"272","NV-04",0.591094
"273","NY-01",0.3369
"274","NY-02",0.36044
"275","NY-03",0.593206
"276","NY-04",0.834396
"277","NY-05",0.960428
"278","NY-06",0.95837
"279","NY-07",0.956736
"280","NY-08",0.96919
"281","NY-09",0.955436
"282","NY-10",0.973428
"283","NY-11",0.238442
"284","NY-12",0.975274
"285","NY-13",0.960272
"286","NY-14",0.9844
"287","NY-15",0.948598
"288","NY-16",0.972214
"289","NY-17",0.895362
"290","NY-18",0.776718
"291","NY-19",0.626896
"292","NY-20",0.91341
"293","NY-21",0.338496
"294","NY-22",0.474968
"295","NY-23",0.242406
"296","NY-24",0.54481
"297","NY-25",0.913722
"298","NY-26",0.946036
"299","NY-27",0.093786
"300","OH-01",0.216344
"301","OH-02",0.09952
"302","OH-03",0.964894
"303","OH-04",0.09921
"304","OH-05",0.123588
"305","OH-06",0.087898
"306","OH-07",0.19907
"307","OH-08",0.11887
"308","OH-09",0.958738
"309","OH-10",0.258916
"310","OH-10 ",NA
"311","OH-11",0.956034
"312","OH-12",0.063354
"313","OH-12 ",NA
"314","OH-13",0.947858
"315","OH-14",0.202956
"316","OH-15",0.11746
"317","OH-16",0.148576
"318","OK-01",0.052234
"319","OK-02",0.040624
"320","OK-03",0.04537
"321","OK-04",0.03292
"322","OK-05",0.071284
"323","OR-01",0.911532
"324","OR-02",0.051198
"325","OR-03",0.971668
"326","OR-04",0.792458
"327","OR-05",0.748968
"328","PA-01",0.955982
"329","PA-02",0.971608
"330","PA-03",0.135838
"331","PA-04",0.098876
"332","PA-05",0.103826
"333","PA-06",0.25722
"334","PA-07",0.230996
"335","PA-08",0.545442
"336","PA-09",0.01367
"337","PA-10",0.066748
"338","PA-11",0.184456
"339","PA-12",0.07963
"340","PA-13",0.957612
"341","PA-14",0.957594
"342","PA-15",0.267496
"343","PA-16",0.423156
"344","PA-17",0.815434
"345","PA-18",0.070786
"346","RI-01",0.96603
"347","RI-02",0.92741
"348","SC-01",0.081494
"349","SC-02",0.061362
"350","SC-03",0.06201
"351","SC-04",0.043534
"352","SC-05",0.10542
"353","SC-06",0.981502
"354","SC-07",0.112736
"355","SD-00",0.069176
"356","TN-01",0.06214
"357","TN-02",0.064952
"358","TN-03",0.038556
"359","TN-04",0.059046
"360","TN-05",0.814436
"361","TN-06",0.034634
"362","TN-07",0.02938
"363","TN-08",0.076078
"364","TN-09",0.954838
"365","TX-01",0.055094
"366","TX-02",0.057848
"367","TX-03",0.049474
"368","TX-04",0.051168
"369","TX-05",0.028352
"370","TX-06",0.069276
"371","TX-07",0.057322
"372","TX-08",0.004134
"373","TX-09",0.955046
"374","TX-10",0.054722
"375","TX-11",0.03016
"376","TX-12",0.040488
"377","TX-13",0.031278
"378","TX-14",0.076312
"379","TX-15",0.693636
"380","TX-16",0.940546
"381","TX-17",0.046664
"382","TX-18",0.949196
"383","TX-19",0.040672
"384","TX-20",0.904768
"385","TX-21",0.055022
"386","TX-22",0.044718
"387","TX-23",0.228258
"388","TX-24",0.067302
"389","TX-25",0.057452
"390","TX-26",0.04462
"391","TX-27",0.057518
"392","TX-28",0.922452
"393","TX-29",0.964636
"394","TX-30",0.951692
"395","TX-31",0.069882
"396","TX-32",0.061506
"397","TX-33",0.968276
"398","TX-34",0.92992
"399","TX-35",0.944028
"400","TX-36",0.045006
"401","UT-01",0.050466
"402","UT-02",0.056238
"403","UT-03",0.041548
"404","UT-04",0.021344
"405","VA-01",0.092552
"406","VA-02",0.384742
"407","VA-03",0.951292
"408","VA-04",0.763176
"409","VA-05",0.414266
"410","VA-06",0.051682
"411","VA-07",0.10371
"412","VA-08",0.976266
"413","VA-09",0.059466
"414","VA-10",0.20232
"415","VA-11",0.952148
"416","VT-00",0.961668
"417","WA-01",0.84804
"418","WA-02",0.926608
"419","WA-03",0.353228
"420","WA-04",0.054224
"421","WA-05",0.163358
"422","WA-06",0.886928
"423","WA-07",0.98439
"424","WA-08",0.294692
"425","WA-09",0.958264
"426","WA-10",0.887806
"427","WI-01",0.140562
"428","WI-02",0.961462
"429","WI-03",0.896004
"430","WI-04",0.962144
"431","WI-05",0.07746
"432","WI-06",0.236158
"433","WI-07",0.257718
"434","WI-08",0.435646
"435","WV-01",0.057586
"436","WV-02",0.06984
"437","WV-03",0.050744
"438","WY-00",0.0464
