cycle,branch,type,matchup,forecastdate,state,startdate,enddate,pollster,grade,samplesize,population,poll_wt,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,multiversions,url,poll_id,question_id,createddate,timestamp
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"U.S.",10/20/2016,10/24/2016,"Google Consumer Surveys","B",21240,"lv",5.477596,38.54,33.87,6.37,,43.97457,40.04623,5.7218,,"","https://datastudio.google.com/u/0/#/org//reporting/0B29GVb5ISrT0TGk1TW5tVF9Ed2M/page/GsS",47407,74188,10/25/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"U.S.",10/20/2016,10/23/2016,"ABC News/Washington Post","A+",1155,"lv",3.711454,50,38,5,,48.10578,36.93708,5.425455,,"","http://www.langerresearch.com/wp-content/uploads/1184a32016ElectionTrackingNo3.pdf",47329,74054,10/25/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"U.S.",10/20/2016,10/24/2016,"Ipsos","A-",1167,"lv",3.173219,42.5,37.7,6.9,,42.72448,38.46164,7.680231,,"","http://polling.reuters.com/#poll/TM651Y15_26/filters/LIKELY:1",47347,74133,10/25/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"U.S.",10/14/2016,10/17/2016,"Selzer & Company","A+",1000,"lv",2.927522,47,38,8,,47.04401,37.99638,7.455059,,"","http://www.bloomberg.com/politics/articles/2016-10-19/national-poll",47060,73636,10/19/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"U.S.",9/27/2016,10/10/2016,"Pew Research Center","B+",3616,"rv",2.644042,46,39,10,,46.8051,40.01051,7.201619,,"","http://www.people-press.org/2016/10/14/in-presidential-contest-voters-say-basic-facts-not-just-policies-are-in-dispute/?utm_source=adaptivemailer&utm_medium=email&utm_campaign=16-10-14%20panel%20election%20report&org=982&lvl=100&ite=413&lea=66917&ctr=0&par=1&trk=",46802,73200,10/14/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"North Carolina",10/20/2016,10/23/2016,"Siena College","A",792,"lv",2.640114,46,39,8,,45.929,40.30222,6.911702,,"","http://files.constantcontact.com/9c83fb30501/a28d624b-bd7e-46a7-a024-573e184bd3bb.pdf",47325,74046,10/25/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"U.S.",10/22/2016,10/24/2016,"The Times-Picayune/Lucid","",2609,"lv",2.630053,44,38,6,,44.13668,39.6978,5.181881,,"","https://luc.id/2016-presidential-tracker/",47341,74079,10/25/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"U.S.",10/18/2016,10/24/2016,"USC Dornsife/LA Times","",3104,"lv",2.570101,44.97,44.07,,,45.64107,40.0523,,,"","http://latimes.com/politics/",47320,74038,10/25/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"U.S.",10/19/2016,10/24/2016,"IBD/TIPP","A-",873,"lv",2.543613,41.6,40.8,8.4,,43.60275,40.38457,7.461345,,"","http://www.investors.com/politics/ibd-tipp-presidential-election-poll/",47323,74043,10/25/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"U.S.",10/20/2016,10/23/2016,"Gravis Marketing","B-",2109,"rv",2.535091,50,50,,,48.56487,47.91756,,,"","http://www.realclearpolitics.com/docs/2016/Gravis_Oct_24th_2016.pdf",47344,74085,10/25/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"U.S.",10/17/2016,10/18/2016,"Quinnipiac University","A-",1007,"lv",2.508173,47,40,7,,47.95377,39.34947,6.297157,,"","https://www.qu.edu/images/polling/us/us10192016_U29frgv.pdf",47078,73671,10/19/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Florida",10/21/2016,10/22/2016,"YouGov","B",1042,"lv",2.414209,46,43,3,,46.00152,42.3886,4.847958,,"","https://today.yougov.com/news/2016/10/23/battlegrounds-presidential-race-tight-florida-and-/",47236,73919,10/23/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Texas",10/21/2016,10/22/2016,"YouGov","B",1031,"lv",2.39946,43,46,5,,43.00102,45.38823,6.847959,,"","https://today.yougov.com/news/2016/10/23/battlegrounds-presidential-race-tight-florida-and-/",47237,73920,10/23/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Georgia",10/17/2016,10/20/2016,"Time/Abt SRBI","A-",839,"lv",2.362728,42,44,9,,42.14108,44.60977,7.527755,,"","http://politics.blog.ajc.com/2016/10/21/ajc-poll-trump-and-clinton-deadlocked-georgia/",47158,73792,10/21/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"U.S.",10/20/2016,10/23/2016,"CNN/Opinion Research Corp.","A-",779,"lv",2.33262,49,44,3,,48.03423,41.627,2.682783,,"","http://i2.cdn.turner.com/cnn/2016/images/10/24/cnn.poll.pdf",47314,74018,10/24/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Pennsylvania",10/20/2016,10/22/2016,"Remington","",1997,"lv",2.329331,45,42,5,,44.91756,40.17353,5.942513,,"","http://big.assets.huffingtonpost.com/PASTATEWIDE.pdf",47332,74066,10/25/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Ohio",10/20/2016,10/22/2016,"Remington","",1971,"lv",2.320174,42,46,4,,41.92061,44.17711,4.942513,,"","http://big.assets.huffingtonpost.com/OHSTATEWIDE.pdf",47330,74064,10/25/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"North Carolina",10/21/2016,10/22/2016,"Public Policy Polling","B+",875,"lv",2.318653,47,44,4,,46.44632,43.6195,5.117906,,"","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_NC_102416.pdf",47248,73936,10/24/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"U.S.",10/15/2016,10/17/2016,"Fox News/Anderson Robbins Research/Shaw & Company Research","A",912,"lv",2.317645,45,39,5,,46.22634,39.42577,4.421297,,"","http://www.foxnews.com/politics/2016/10/18/fox-news-poll-clinton-tops-trump-by-6-points.html",47054,73625,10/18/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Idaho",10/21/2016,10/23/2016,"Emerson College","B",1023,"lv",2.263292,23,52,,,20.65761,48.18085,,,"","http://media.wix.com/ugd/3bebb2_06bcdf8a3e564f1ea6549d31229f4d73.pdf",47339,74075,10/25/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Wisconsin",10/20/2016,10/22/2016,"Remington","",1795,"lv",2.253464,46,41,5,,45.92376,39.18081,5.942513,,"","http://big.assets.huffingtonpost.com/WISTATEWIDE.pdf",47336,74071,10/25/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Virginia",10/20/2016,10/22/2016,"Remington","",1787,"lv",2.25022,48,43,3,,47.91815,41.17422,3.942513,,"","http://big.assets.huffingtonpost.com/VASTATEWIDE.pdf",47331,74065,10/25/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"North Carolina",10/20/2016,10/22/2016,"Remington","",1764,"lv",2.240784,44,47,3,,43.91508,45.17062,3.942513,,"","http://big.assets.huffingtonpost.com/NCSTATEWIDE.pdf",47333,74067,10/25/16,"16:40:05 25 Oct 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",10/25/16,"Florida",10/20/2016,10/22/2016,"Remington","",1646,"lv",2.189641,46,46,2,,45.92005,44.17645,2.942513,,"","http://big.assets.huffingtonpost.com/FLSTATEWIDE.pdf",47334,74068,10/25/16,"16:40:05 25 Oct 2016"
